Ref,Val,Package,MidX,MidY,Rotation,Side
"C1","10p","C_0402_1005Metric",94.200000,-157.300000,0.000000,top
"C2","10p","C_0402_1005Metric",96.400000,-159.648528,90.000000,top
"C3","100n","C_0402_1005Metric",90.550000,-162.700000,45.000000,top
"C4","1u","C_0603_1608Metric",95.028500,-151.401629,-90.000000,top
"C5","1u","C_0603_1608Metric",91.459500,-151.401629,90.000000,top
"C6","1u","C_0603_1608Metric",99.952496,-155.735142,-135.000000,top
"C7","10u","C_0603_1608Metric",59.479000,-161.174001,90.000000,top
"C8","10u","C_0603_1608Metric",62.019000,-157.618001,180.000000,top
"C9","10u","C_0603_1608Metric",70.600000,-158.200000,180.000000,top
"C10","100n","C_0402_1005Metric",86.547580,-165.407580,-135.000000,top
"C11","100n","C_0402_1005Metric",87.266000,-166.126000,-135.000000,top
"C12","10u","C_0603_1608Metric",67.285000,-158.200000,180.000000,top
"C13","1u","C_0402_1005Metric",76.650000,-166.650000,135.000000,top
"C14","1u","C_0402_1005Metric",79.700000,-164.300000,45.000000,top
"C15","1u","C_0402_1005Metric",92.808919,-169.734042,45.000000,top
"C17","1u","C_0402_1005Metric",80.400000,-178.300000,-45.000000,top
"C18","1u","C_0402_1005Metric",85.800000,-176.700000,45.000000,top
"C19","1u","C_0402_1005Metric",88.866000,-167.657371,45.000000,top
"C20","22u","C_0603_1608Metric",89.900000,-165.200000,45.000000,top
"C21","1u","C_0402_1005Metric",87.966000,-166.826000,45.000000,top
"C22","22u","C_0603_1608Metric",79.250000,-162.000000,135.000000,top
"C23","1u","C_0402_1005Metric",81.000000,-163.000000,-135.000000,top
"C24","22u","C_0603_1608Metric",91.100000,-159.325000,90.000000,top
"C25","1u","C_0402_1005Metric",85.866000,-164.726000,45.000000,top
"C26","1u","C_0402_1005Metric",84.500000,-178.000000,-135.000000,top
"C28","1u","C_0402_1005Metric",75.950000,-167.350000,135.000000,top
"C29","1u","C_0402_1005Metric",92.108919,-169.034042,45.000000,top
"C34","10u","C_0603_1608Metric",104.666000,-174.434000,180.000000,top
"C35","10u","C_0603_1608Metric",101.072500,-171.434000,0.000000,top
"C36","10u","C_0603_1608Metric",101.072500,-169.934000,0.000000,top
"C37","10p","C_0402_1005Metric",60.368000,-184.200000,90.000000,top
"C38","10p","C_0402_1005Metric",62.400000,-184.200000,90.000000,top
"C39","10p","C_0402_1005Metric",66.464000,-184.200000,90.000000,top
"C40","10p","C_0402_1005Metric",64.432000,-184.200000,90.000000,top
"C41","10p","C_0402_1005Metric",71.088000,-184.172000,90.000000,top
"C42","10p","C_0402_1005Metric",77.184000,-184.200000,90.000000,top
"C43","10p","C_0402_1005Metric",73.120000,-184.200000,90.000000,top
"C44","10p","C_0402_1005Metric",75.152000,-184.200000,90.000000,top
"C45","10p","C_0402_1005Metric",86.278001,-184.170001,90.000000,top
"C46","10p","C_0402_1005Metric",92.374001,-184.170001,90.000000,top
"C47","10p","C_0402_1005Metric",88.310001,-184.170001,90.000000,top
"C48","10p","C_0402_1005Metric",90.342001,-184.170001,90.000000,top
"C49","10p","C_0402_1005Metric",96.988000,-184.200000,90.000000,top
"C50","10p","C_0402_1005Metric",103.084000,-184.200000,90.000000,top
"C51","10p","C_0402_1005Metric",99.020000,-184.200000,90.000000,top
"C52","10p","C_0402_1005Metric",101.052000,-184.200000,90.000000,top
"FB1","100Î©","R_0805_2012Metric",93.259500,-151.343629,90.000000,top
"FB2","600R","R_0603_1608Metric",91.000000,-166.300000,45.000000,top
"FB3","600R","R_0603_1608Metric",92.000000,-164.100000,135.000000,top
"FB4","600R","R_0603_1608Metric",78.200000,-163.050000,-45.000000,top
"FB5","600R","R_0603_1608Metric",89.600000,-159.325000,-90.000000,top
"J1","USB3_B","USB3_typeB",82.235000,-153.384000,180.000000,top
"J2","Input","PinHeader_2x04_P2.54mm_Horizontal",67.016000,-190.707371,-90.000000,top
"J3","Input","PinHeader_2x04_P2.54mm_Horizontal",79.716000,-190.707371,-90.000000,top
"J4","Input","PinHeader_2x04_P2.54mm_Horizontal",92.416000,-190.707371,-90.000000,top
"J5","Input","PinHeader_2x04_P2.54mm_Horizontal",105.116000,-190.707371,-90.000000,top
"J7","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",68.900000,-164.300000,-90.000000,top
"L1","10uH","L_Sunlord_SWPA252012S",62.019000,-163.968001,180.000000,top
"L2","2u2","L_Sunlord_SWPA252012S",101.272500,-173.734000,90.000000,top
"R1","10K","R_0402_1005Metric",78.350000,-164.950000,135.000000,top
"R2","100K","R_0402_1005Metric",89.900000,-162.000000,-135.000000,top
"R3","200R 1%","R_0603_1608Metric",77.100000,-165.400000,135.000000,top
"R4","6040R 1%","R_0603_1608Metric",90.864412,-168.581494,45.000000,top
"R5","100K","R_0402_1005Metric",61.384000,-184.200000,90.000000,top
"R6","36K5","R_0402_1005Metric",103.562500,-169.634000,0.000000,top
"R7","10K","R_0402_1005Metric",105.472500,-169.634000,0.000000,top
"R8","44K2","R_0402_1005Metric",105.466000,-168.634000,180.000000,top
"R9","4K7","R_0603_1608Metric",100.479975,-162.065007,-90.000000,top
"R10","4K7","R_0603_1608Metric",103.279975,-164.565007,180.000000,top
"R11","100K","R_0402_1005Metric",63.416000,-184.200000,90.000000,top
"R12","100K","R_0402_1005Metric",67.480000,-184.200000,90.000000,top
"R13","100K","R_0402_1005Metric",65.448000,-184.200000,90.000000,top
"R14","100K","R_0402_1005Metric",72.104000,-184.200000,90.000000,top
"R15","100K","R_0402_1005Metric",78.200000,-184.200000,90.000000,top
"R16","100K","R_0402_1005Metric",74.136000,-184.200000,90.000000,top
"R17","100K","R_0402_1005Metric",76.168000,-184.200000,90.000000,top
"R18","100K","R_0402_1005Metric",87.294001,-184.170001,90.000000,top
"R19","100K","R_0402_1005Metric",93.390001,-184.170001,90.000000,top
"R20","100K","R_0402_1005Metric",89.326001,-184.170001,90.000000,top
"R21","100K","R_0402_1005Metric",91.358001,-184.172001,90.000000,top
"R22","100K","R_0402_1005Metric",98.004000,-184.200000,90.000000,top
"R23","100K","R_0402_1005Metric",104.100000,-184.200000,90.000000,top
"R24","100K","R_0402_1005Metric",100.036000,-184.198000,90.000000,top
"R25","100K","R_0402_1005Metric",102.068000,-184.200000,90.000000,top
"R26","1K","R_0603_1608Metric",98.772500,-170.734000,-90.000000,top
"R27","100R","R_0402_1005Metric",73.100000,-162.390001,-90.000000,top
"RN1","100R","R_Array_Convex_4x0603",62.804000,-186.997001,-90.000000,top
"RN2","100R","R_Array_Convex_4x0603",75.757999,-186.997000,-90.000000,top
"RN3","100R","R_Array_Convex_4x0603",88.712001,-186.997001,-90.000000,top
"RN4","100R","R_Array_Convex_4x0603",101.666000,-186.997000,-90.000000,top
"U1","CYUSB3014BZXI","XBGA-121_10x10mm_Layout11x11_P0.8mm",82.266000,-170.957371,-45.000000,top
"U2","~","SOT-23-5",97.972597,-153.755243,-45.000000,top
"U3","SP3010","USON-10_2.5x1.0mm_P0.5mm",82.235000,-159.484000,-90.000000,top
"U4","USBLC6-2SC6","SOT-23-6",93.117889,-154.907368,180.000000,top
"U5","TPS62207DBV","SOT-23-5",62.000000,-160.600000,-90.000000,top
"U6","USBLC6-4SC6","SOT-23-6",63.135000,-177.784000,180.000000,top
"U7","SN74AXC8T245PWR","TSSOP-24_4.4x7.8mm_P0.65mm",95.316001,-177.218000,-90.000000,top
"U8","AMS1117-3.3","SOT-223-3_TabPin2",68.809000,-152.866000,90.000000,top
"U9","TLV62569DBV","SOT-23-5",104.672500,-171.934000,0.000000,top
"U10","MCP4725","SOT-23-6",102.466000,-167.426000,180.000000,top
"U11","M24M01-RDW","TSSOP-8_4.4x3mm_P0.65mm",103.039975,-159.949007,-90.000000,top
"U12","SN74AXC8T245PWR","TSSOP-24_4.4x7.8mm_P0.65mm",69.408000,-177.218000,-90.000000,top
"U13","USBLC6-4SC6","SOT-23-6",75.835000,-178.584000,0.000000,top
"U14","USBLC6-4SC6","SOT-23-6",89.043001,-177.784000,180.000000,top
"U15","USBLC6-4SC6","SOT-23-6",101.600000,-177.800000,0.000000,top
"Y1","19.2M","Crystal_SMD_3225-4Pin_3.2x2.5mm",94.200000,-159.900000,90.000000,top
